Date,Power_kW,Holiday,Temperature [Cº],HR,Wind Speed [m/s],Wind Gust [m/s],Pressure [mbar],Solar Radiation [w/m2],rain_mm/h,Rain Day
2017-01-01 00:00:00,117.823342,1,8.72,74.6,2.138,3.7739999999999996,1029.0,1.163,0.0,0.0
2017-01-01 01:00:00,119.1906989,1,8.21,75.0,2.0340000000000003,3.2710000000000004,1029.0,1.357,0.0,0.0
2017-01-01 02:00:00,117.9729915,1,7.58,79.2,3.04,3.522,1028.0,2.6039999999999996,0.0,0.0
2017-01-01 03:00:00,116.4132879,1,6.968,81.2,4.046,5.032,1028.0,1.44,0.0,0.0
2017-01-01 04:00:00,116.17238359999999,1,6.797000000000001,80.8,3.522,4.277,1028.0,1.7730000000000001,0.0,0.0
2017-01-01 05:00:00,114.8782817,1,6.1610000000000005,81.7,5.22,7.04,1028.0,0.38799999999999996,0.0,0.0
2017-01-01 06:00:00,116.12822129999999,1,5.8020000000000005,80.5,4.864,6.541,1027.0,0.997,0.0,0.0
2017-01-01 07:00:00,116.1114773,1,5.525,80.5,3.5639999999999996,5.2829999999999995,1027.0,1.1909999999999998,0.0,0.0
2017-01-01 08:00:00,112.4997965,1,5.3870000000000005,80.6,2.222,3.0189999999999997,1027.0,4.627,0.0,0.0
2017-01-01 09:00:00,112.9510473,1,5.407,80.6,2.8089999999999997,4.025,1027.0,38.79,0.0,0.0
2017-01-01 10:00:00,112.74865420000002,1,5.62,80.5,4.822,6.037999999999999,1027.0,176.4,0.0,0.0
2017-01-01 11:00:00,112.3430308,1,6.206,78.4,3.522,4.78,1027.0,159.3,0.0,0.0
2017-01-01 12:00:00,113.6214352,1,7.25,75.1,3.6060000000000003,4.277,1026.0,270.5,0.0,0.0
2017-01-01 13:00:00,113.8309445,1,7.82,76.1,1.824,2.516,1024.0,208.4,0.0,0.0
2017-01-01 14:00:00,114.5270763,1,9.28,71.5,1.5719999999999998,2.013,1023.0,186.7,0.0,0.0
2017-01-01 15:00:00,114.30961359999999,1,10.1,68.96,1.321,1.761,1023.0,147.7,0.0,0.0
2017-01-01 16:00:00,117.1276288,1,9.78,71.8,0.0,0.0,1022.0,76.4,0.0,0.0
2017-01-01 17:00:00,116.887771,1,9.26,75.1,1.9709999999999999,2.516,1022.0,18.42,0.0,0.0
2017-01-01 18:00:00,118.34512690000001,1,8.87,76.6,2.6,3.0189999999999997,1022.0,3.324,0.0,0.0
2017-01-01 19:00:00,117.9116666,1,8.9,75.8,1.761,3.0189999999999997,1021.0,0.5539999999999999,0.0,0.0
2017-01-01 20:00:00,125.8803455,1,9.26,76.1,2.5580000000000003,3.2710000000000004,1020.0,0.997,0.0,0.0
2017-01-01 21:00:00,126.03020430000001,1,9.21,77.8,0.7340000000000001,1.761,1020.0,1.4409999999999998,0.0,0.0
2017-01-01 22:00:00,125.65388290000001,1,9.51,78.0,1.321,2.013,1019.0,1.496,0.0,0.0
2017-01-01 23:00:00,126.1955513,1,10.09,78.4,1.551,2.2640000000000002,1018.0,1.745,0.0,0.0
2017-01-02 00:00:00,126.10325,0,9.64,81.4,1.53,2.516,1018.0,1.496,0.0,0.0
2017-01-02 01:00:00,128.5286184,0,9.57,84.7,2.7460000000000004,3.2710000000000004,1017.0,1.136,0.0,0.0
2017-01-02 02:00:00,125.86925259999998,0,9.97,85.2,4.57,5.032,1015.0,2.521,0.0,0.0
2017-01-02 03:00:00,126.8868692,0,9.8,86.1,6.017,7.3,1015.0,1.329,0.0,0.0
2017-01-02 04:00:00,127.19872620000001,0,9.83,87.3,5.157,7.04,1014.0,2.52,0.0,0.0
2017-01-02 05:00:00,126.4075722,0,9.84,86.2,5.43,7.8,1014.0,1.163,0.0,0.0
2017-01-02 06:00:00,139.113338,0,10.43,82.8,7.23,9.06,1013.0,1.025,0.0,0.0
2017-01-02 07:00:00,161.108675,0,10.39,82.2,9.18,12.58,1013.0,1.08,0.0,0.0
2017-01-02 08:00:00,207.56887969999997,0,10.16,81.8,8.43,10.82,1013.0,1.495,0.0,0.0
2017-01-02 09:00:00,298.6870068,0,10.15,80.1,8.05,11.82,1013.0,31.38,0.0,0.0
2017-01-02 10:00:00,336.420448,0,10.75,78.2,7.0,8.81,1014.0,59.38,0.0,0.0
2017-01-02 11:00:00,344.547567,0,11.21,76.7,7.99,10.06,1014.0,53.12,0.0,0.0
2017-01-02 12:00:00,317.6479124,0,12.36,73.3,8.68,10.06,1013.0,107.6,0.0,0.0
2017-01-02 13:00:00,319.1310122,0,12.86,73.2,5.115,6.541,1013.0,25.12,0.0,0.0
2017-01-02 14:00:00,335.5880619,0,13.96,68.63,5.074,7.55,1012.0,8.81,0.4,0.4
2017-01-02 15:00:00,333.67589710000004,0,12.69,79.6,5.891,7.55,1013.0,22.6,1.0,1.4
2017-01-02 16:00:00,310.4942477,0,13.42,75.4,6.877000000000001,10.31,1012.0,34.28,1.1,2.5
2017-01-02 17:00:00,263.5074442,0,13.11,78.0,8.91,13.08,1012.0,3.988,1.6,4.0
2017-01-02 18:00:00,205.6567149,0,13.99,75.0,7.4,10.82,1013.0,5.567,0.3,4.3
2017-01-02 19:00:00,172.14171519999996,0,13.49,78.5,8.09,13.08,1014.0,1.44,0.0,4.3
2017-01-02 20:00:00,142.1375137,0,13.65,79.2,7.23,11.07,1015.0,2.437,0.7,5.0
2017-01-02 21:00:00,135.6644926,0,13.26,83.8,7.95,9.81,1015.0,1.135,1.6,6.6
2017-01-02 22:00:00,133.9245817,0,13.71,81.9,5.765,7.3,1016.0,1.883,0.0,6.6
2017-01-02 23:00:00,132.54173659999998,0,14.06,84.6,6.688,12.33,1016.0,1.4680000000000002,0.3,6.9
2017-01-03 00:00:00,134.0449292,0,14.36,83.0,8.11,9.81,1017.0,2.1319999999999997,0.3,7.2
2017-01-03 01:00:00,133.26549599999998,0,14.24,83.8,5.744,7.3,1017.0,4.126,0.1,0.1
2017-01-03 02:00:00,129.9405562,0,14.32,83.8,4.298,5.535,1017.0,1.6340000000000001,0.0,0.1
2017-01-03 03:00:00,129.0342872,0,12.83,87.8,5.053,6.792999999999999,1018.0,2.021,0.3,0.4
2017-01-03 04:00:00,129.5125377,0,13.97,88.8,4.78,6.037999999999999,1018.0,0.249,0.2,0.6
2017-01-03 05:00:00,132.7612923,0,14.77,85.5,7.84,10.06,1018.0,0.997,0.5,1.1
2017-01-03 06:00:00,145.9055416,0,14.86,84.5,4.7589999999999995,5.535,1018.0,0.44299999999999995,0.0,1.1
2017-01-03 07:00:00,172.62561680000002,0,14.85,83.9,4.256,6.037999999999999,1019.0,0.0,0.0,1.1
2017-01-03 08:00:00,225.1266381,0,14.99,84.6,4.088,5.2829999999999995,1020.0,2.298,0.0,1.1
2017-01-03 09:00:00,294.22598660000006,0,15.13,83.3,5.682,6.792999999999999,1021.0,68.05,0.0,1.1
2017-01-03 10:00:00,323.57277680000004,0,15.64,81.7,2.2640000000000002,3.2710000000000004,1022.0,205.5,0.0,1.1
2017-01-03 11:00:00,327.5505233,0,15.86,78.6,2.495,4.277,1023.0,156.1,0.0,1.1
2017-01-03 12:00:00,303.585464,0,16.08,74.0,5.912000000000001,6.792999999999999,1023.0,291.8,0.0,1.1
2017-01-03 13:00:00,291.0075805,0,16.5,70.1,6.206,8.81,1022.0,319.2,0.0,1.1
2017-01-03 14:00:00,301.15779330000004,0,16.48,74.4,5.409,6.792999999999999,1022.0,247.0,0.0,1.1
2017-01-03 15:00:00,296.42677610000004,0,16.33,71.0,6.352,7.3,1023.0,195.3,0.0,1.1
2017-01-03 16:00:00,276.0072588,0,16.05,67.79,6.751,8.55,1023.0,105.7,0.0,1.1
2017-01-03 17:00:00,245.6229685,0,15.34,75.2,6.394,7.04,1024.0,29.18,0.0,1.1
2017-01-03 18:00:00,197.74622140000002,0,15.28,76.6,3.753,4.277,1024.0,1.495,0.0,1.1
2017-01-03 19:00:00,166.4698945,0,15.02,80.7,1.761,2.767,1025.0,1.329,0.0,1.1
2017-01-03 20:00:00,138.3177887,0,15.05,82.7,1.1740000000000002,2.2640000000000002,1025.0,0.748,0.0,1.1
2017-01-03 21:00:00,127.9233228,0,14.99,82.4,2.8089999999999997,3.522,1025.0,0.8029999999999999,0.0,1.1
2017-01-03 22:00:00,127.3550733,0,15.02,82.0,1.3840000000000001,2.013,1026.0,0.332,0.0,1.1
2017-01-03 23:00:00,125.63525520000002,0,14.94,82.4,2.9139999999999997,4.025,1026.0,0.748,0.0,1.1
2017-01-04 00:00:00,128.3034116,0,14.35,84.6,1.153,2.013,1027.0,0.581,0.0,0.0
2017-01-04 01:00:00,123.67557930000001,0,13.26,87.9,1.6980000000000002,2.2640000000000002,1026.0,0.415,0.0,0.0
2017-01-04 02:00:00,122.8063564,0,13.06,89.5,1.3419999999999999,1.761,1026.0,0.6920000000000001,0.0,0.0
2017-01-04 03:00:00,125.3307237,0,12.44,90.2,2.2640000000000002,3.0189999999999997,1027.0,0.47100000000000003,0.0,0.0
2017-01-04 04:00:00,134.04262690000002,0,11.74,91.1,3.103,3.7739999999999996,1027.0,1.274,0.0,0.0
2017-01-04 05:00:00,134.546412,0,11.67,91.4,2.9560000000000004,3.7739999999999996,1026.0,1.745,0.0,0.0
2017-01-04 06:00:00,151.91873059999998,0,11.56,91.5,2.1590000000000003,2.516,1027.0,1.662,0.0,0.0
2017-01-04 07:00:00,185.6894949,0,11.58,91.7,1.405,2.013,1027.0,3.2960000000000003,0.0,0.0
2017-01-04 08:00:00,238.71104530000002,0,11.46,91.9,1.3,1.5090000000000001,1028.0,9.03,0.0,0.0
2017-01-04 09:00:00,309.6116296,0,11.43,92.0,1.237,1.5090000000000001,1028.0,33.87,0.0,0.0
